CODE,CENTER_LAT,CENTER_LON
5105066,5.500000000000002,66.5
5105067,5.500000000000002,67.5
5105068,5.500000000000002,68.5
5105069,5.500000000000002,69.5
5105070,5.500000000000002,70.5
5105071,5.500000000000002,71.5
5105072,5.500000176443809,72.4999506447089
5105073,5.499899996936308,73.50011629291302
5105074,5.500000000000002,74.5
5105075,5.500000000000002,75.5
5105076,5.500000000000002,76.5
5105077,5.500000000000002,77.5
5105078,5.500000000000002,78.5
5105079,5.500000000000002,79.5
5105080,5.489928647356215,80.49909276984285
5105081,5.500000000000002,81.5
5105082,5.500000000000002,82.5
5105083,5.500000000000002,83.5
5105084,5.500000000000002,84.5
5105085,5.500000000000002,85.5
5105086,5.500000000000002,86.5
5105087,5.500000000000002,87.5
5105088,5.500000000000002,88.5
5105089,5.500000000000002,89.5
5105090,5.500000000000002,90.5
5105091,5.500000000000002,91.5
5105092,5.500000000000002,92.5
5105093,5.500000000000002,93.5
5105094,5.500000000000002,94.5
5105095,5.6450405138418125,95.42951049026425
5105096,5.626773020842,96.502931372019
5105097,5.563253579310388,97.52823354197506
5105098,5.499993677894423,98.49998452757707
5105099,5.500000000000002,99.5
5105100,5.494503993479094,100.18538852802479
5106048,6.0244945660322164,48.986533555708945
5106049,6.465433338176911,49.56721611195353
5106050,6.500000000000002,50.5
5106051,6.500000000000002,51.5
5106052,6.500000000000002,52.5
5106053,6.500000000000002,53.5
5106054,6.500000000000002,54.5
5106055,6.500000000000002,55.5
5106056,6.500000000000002,56.5
5106057,6.500000000000002,57.5
5106058,6.500000000000002,58.5
5106059,6.500000000000002,59.5
5106060,6.500000000000002,60.5
5106061,6.500000000000002,61.5
5106062,6.500000000000002,62.5
5106063,6.500000000000002,63.5
5106064,6.500000000000002,64.5
5106065,6.500000000000002,65.5
5106066,6.500000000000002,66.5
5106067,6.500000000000002,67.5
5106068,6.500000000000002,68.5
5106069,6.500000000000002,69.5
5106070,6.500000000000002,70.5
5106071,6.500000000000002,71.5
5106072,6.499954039480039,72.49979164730978
5106073,6.499745119116192,73.5005817335824
5106074,6.500000000000002,74.5
5106075,6.500000000000002,75.5
5106076,6.500000000000002,76.5
5106077,6.500000000000002,77.5
5106078,6.500000000000002,78.5
5106079,6.4837593359778,79.47612711225955
5106080,6.09153102627866,80.29434985683784
5106081,6.316870763908692,81.69431337074124
5106082,6.500000000000002,82.5
5106083,6.500000000000002,83.5
5106084,6.500000000000002,84.5
5106085,6.500000000000002,85.5
5106086,6.500000000000002,86.5
5106087,6.500000000000002,87.5
5106088,6.500000000000002,88.5
5106089,6.500000000000002,89.5
5106090,6.500000000000002,90.5
5106091,6.500000000000002,91.5
5106092,6.500000000000002,92.5
5106093,6.486652083889253,93.48878969211042
5106094,6.500000000000002,94.5
5106095,6.500000000000002,95.5
5106096,6.500000000000002,96.5
5106097,6.500000000000002,97.5
5106098,6.500000000000002,98.5
5106099,6.471365512461109,99.45210370091145
5106100,6.20555119040963,100.11828358391611
5107049,7.37046571987642,49.80129428437074
5107050,7.500000000000002,50.5
5107051,7.500000000000002,51.5
5107052,7.500000000000002,52.5
5107053,7.500000000000002,53.5
5107054,7.500000000000002,54.5
5107055,7.500000000000002,55.5
5107056,7.500000000000002,56.5
5107057,7.500000000000002,57.5
5107058,7.500000000000002,58.5
5107059,7.500000000000002,59.5
5107060,7.500000000000002,60.5
5107061,7.500000000000002,61.5
5107062,7.500000000000002,62.5
5107063,7.500000000000002,63.5
5107064,7.500000000000002,64.5
5107065,7.500000000000002,65.5
5107066,7.500000000000002,66.5
5107067,7.500000000000002,67.5
5107068,7.500000000000002,68.5
5107069,7.500000000000002,69.5
5107070,7.500000000000002,70.5
5107071,7.500000000000002,71.5
5107072,7.5000464930059945,72.49995318674408
5107073,7.500000000000002,73.5
5107074,7.500000000000002,74.5
5107075,7.500000000000002,75.5
5107076,7.500000000000002,76.5
5107077,7.500000000000002,77.5
5107078,7.500000000000002,78.5
5107079,7.490156830136378,79.40565464981852
5107081,7.631131171706592,81.85599191660006
